,Title,Year,IMDb_Rating,Keywords
59,Avengers: Endgame,2019,8.5,"['time travel', 'superhero', 'cosmic', 'marvel cinematic universe', 'action hero']"
60,Avengers: Infinity War,2018,8.5,"['death of recurring character', 'superhero', 'supervillain', 'ensemble cast', 'marvel cinematic universe']"
61,Shining,1980,8.4,"['haunted hotel', 'labyrinth', 'identical twins', 'hotel', 'snow']"
62,Les sentiers de la gloire,1957,8.4,"['trench warfare', 'french army', 'french soldier', 'fear of death', 'death penalty']"
63,Spider-Man: New Generation,2018,8.4,"['teenage superhero', 'interdimensional travel', 'multiverse', 'marvel comics', 'wisecrack humor']"
64,Wall-E,2008,8.4,"['robot', 'obesity', 'recycling robot', 'adrift in space', 'cgi animation']"
65,Boulevard du Crépuscule,1950,8.4,"['silent film star', 'narrated from the grave', 'butler', 'madness', 'recluse']"
66,Princesse Mononoké,1997,8.4,"['forest', 'anime', 'human animal relationship', 'curse', 'princess']"
67,"Docteur Folamour, ou: Comment j'ai appris à ne plus m'en faire et à aimer la bombe",1964,8.4,"['war room', 'u.s. president', 'bodily fluids', 'nuclear holocaust', 'nuclear weapons']"
68,Old Boy,2003,8.4,"['imprisonment', 'psychological torture', 'revenge', 'brother sister relationship', 'captive']"
69,Témoin à charge,1957,8.4,"['lawyer', 'courtroom drama', 'alibi', 'london england', 'defense attorney']"
70,The Dark Knight Rises,2012,8.4,"['dc comics', 'batman character', 'terrorist plot', 'bruce wayne character', 'cave in']"
71,Il était une fois en Amérique,1984,8.4,"['corrupt police', 'police corruption', 'pig', 'bacon', 'doggystyle sex']"
72,Aliens - Le retour,1986,8.3,"['alien', 'rescue mission', 'soldier', 'monster', 'death of daughter']"
73,Your Name.,2016,8.4,"['japanese high school girl', 'upskirt', 'short skirt', 'hiked skirt', 'thigh high socks']"
74,American Beauty,1999,8.3,"['adulterous wife', 'cheating wife', 'midlife crisis', 'unfaithful wife', 'virginity']"
75,Coco,2017,8.4,"['mexico', 'death', 'afterlife', 'male protagonist', 'day of the dead']"
76,Braveheart,1995,8.3,"['scotland', 'revolt', 'england', 'legend', 'idealism']"
77,Le bateau,1981,8.3,"['submarine movie', 'submarine', 'u boat', 'tension', 'claustrophobic setting']"
78,3 Idiots,2009,8.4,"['papadum', 'hairy chest', 'against the system', 'college', 'flatulence']"
79,Le retour du Jedi,1983,8.3,"['death star', 'boba fett character', 'emperor palpatine character', 'woman wearing a bikini', 'bikini']"
80,Taare Zameen Par,2007,8.4,"['papadum', ""man's best friend"", 'short haired woman', 'female masculine short hair', 'masculine female']"
81,Toy Story,1995,8.3,"['toy', 'rivalry', 'cowboy', 'cgi animation', 'claw crane']"
82,Amadeus,1984,8.3,"['opera', 'composer', 'classical composer', '1800s', 'first person narration']"
83,Reservoir Dogs,1992,8.3,"['heist gone wrong', 'nonlinear timeline', 'robbery', 'murder', 'mexican standoff']"
84,Inglourious Basterds,2009,8.3,"['nazi', 'revenge', 'nazi hunter', 'massacre', 'world war two']"
85,Will Hunting,1997,8.3,"['professor', 'genius', 'friend', 'mathematical genius', 'original story']"
86,"2001, l'odyssée de l'espace",1968,8.3,"['monolith', 'star child', 'human versus computer', 'number in title', 'computer']"
87,Requiem for a Dream,2000,8.3,"['drug addiction', 'heroin', 'sex show', 'sex scene', 'addiction']"
88,M le maudit,1931,8.3,"['psychopath', 'child murder investigation', 'serial child killer', 'big city life', 'investigation']"
89,Sueurs froides,1958,8.3,"['romantic obsession', 'vertigo', '1950s', 'acrophobia', 'san francisco bay']"
90,Dangal,2016,8.4,"['small town', 'father daughter relationship', 'male objectification', 'bare chested male', 'female protagonist']"
91,Eternal Sunshine of the Spotless Mind,2004,8.3,"['memory', 'loneliness', 'retrograde narrative', 'flashback', ""valentine's day""]"
92,Citizen Kane,1941,8.3,"['new york', 'narcissism', 'materialism', 'newspaper publisher', 'suicide attempt']"
93,La chasse,2012,8.3,"['kindergarten teacher', 'hunt', 'gunshot', 'punched in the face', 'false accusation of child abuse']"
94,Full Metal Jacket,1987,8.3,"['military', 'vietnam war', 'drill instructor', 'u.s. marine', 'u.s. marine corps']"
95,La mort aux trousses,1959,8.3,"['spy', 'mount rushmore', 'government agent', 'fugitive', 'on the run']"
96,Orange mécanique,1971,8.3,"['gang', 'female full frontal nudity', 'female removes her clothes', 'dystopia', 'clothes torn off']"
97,Snatch - Tu braques ou tu raques,2000,8.3,"['diamond', 'boxer', 'narrated by character', 'fight', 'cockney accent']"
98,Le Kid,1921,8.3,"['lucifer morningstar character', 'the little tramp character', 'thug', 'star', 'ill child']"
99,Le voleur de bicyclette,1948,8.3,"['thief', 'theft', 'despair', 'church', 'chase']"
100,Scarface,1983,8.3,"['cocaine', 'cuban refugee', 'gangster', 'power', 'organized crime']"
101,Le fabuleux destin d'Amélie Poulain,2001,8.3,"['female protagonist', 'paris france', 'france', 'montmartre paris', 'lawn gnome']"
102,Chantons sous la pluie,1952,8.3,"['movie studio', 'hollywood california', 'reference to moses', '1920s', 'film history']"
103,Taxi Driver,1976,8.3,"['taxi driver', 'child prostitution', 'mentally unstable', 'urban decay', 'street life']"
104,Lawrence d'Arabie,1962,8.3,"['arab', 'desert', 'bedouin', 'ottoman empire', 'british military']"
105,Toy Story 3,2010,8.3,"['toy', 'college', 'escape', 'day care', 'evil teddy bear']"
106,L'arnaque,1973,8.3,"['scantily clad woman', 'con', 'con man', 'caper', 'brunette']"
107,Metropolis,1927,8.3,"['robot', 'revolution', 'dystopia', 'social injustice', 'class differences']"
108,Et pour quelques dollars de plus,1965,8.3,"['mexico', 'shoulder holster', 'new mexico desert', 'alamogordo new mexico', 'arizona desert']"
109,Capharnaüm,2018,8.4,"['boy', '12 year old', 'courtroom', 'prison', 'child marriage']"
110,Une séparation,2011,8.3,"['divorce', ""alzheimer's disease"", 'court', 'marital problem', 'girl']"
111,Vivre,1952,8.3,"['meaning of life', 'cancer', 'death', 'bureaucrat', 'playground']"
112,Assurance sur la mort,1944,8.3,"['insurance investigation', 'murder disguised as accident', 'insurance', 'insurance policy', 'insurance salesman']"
113,Du silence et des ombres...,1962,8.3,"['trial', 'lawyer', 'false accusation', 'based on novel', 'small town']"
114,La garçonnière,1960,8.3,"['mirror', 'evidence', 'christmas', 'apartment', 'christmas eve']"
115,Indiana Jones et la dernière croisade,1989,8.2,"['holy grail', 'year 1912', 'united states of america', 'revolver', 'wehrmacht']"
116,Là-haut,2009,8.2,"['child in jeopardy', 'heartfelt', 'original story', 'balloon', 'south america']"
117,Incendies,2010,8.3,"['twin brother and sister', 'family relationships', 'middle east', 'university', 'torture']"
118,L.A. Confidential,1997,8.2,"['corruption', 'murder', 'call girl', 'neo noir', 'arizona']"
119,"Monty Python, sacré Graal",1975,8.2,"['king arthur', 'holy grail', 'knight', 'camelot', 'killer rabbit']"
120,Heat,1995,8.2,"['gun battle', 'honor', 'organized crime', 'bank', 'armored car robbery']"
121,Piège de cristal,1988,8.2,"['hostage', 'one against many', 'los angeles california', 'christmas', 'christmas eve']"
122,Rashômon,1950,8.2,"['unreliable narration', 'heavy rain', 'contradictory accounts', 'multiple perspectives', 'story told from different perspectives']"
123,Le garde du corps,1961,8.2,"['samurai', 'ronin', 'bodyguard', 'one against many', 'man with no name']"
124,Batman Begins,2005,8.2,"['social decay', 'dc comics', 'superhero', 'well', 'deception']"
125,Impitoyable,1992,8.2,"['one last job', 'sadist', 'revenge', 'gun control', 'revisionist western']"
126,Green Book: Sur les routes du sud,2018,8.2,"['1960s', 'musician', 'segregation', 'christmas', 'friendship']"
127,La chute,2004,8.2,"['bunker', 'third reich', 'nazi', 'suicide', 'last will and testament']"
128,Les enfants du ciel,1997,8.3,"['race', 'late for school', 'family relationships', 'neorealism', 'cobbler the shoemaker']"
129,Certains l'aiment chaud,1959,8.2,"['sex comedy', 'comedy of errors', '1920s', 'disguise', 'all girl band']"
130,Le Mans 66,2019,8.3,"['based on true story', 'based on book', 'motor sports', 'racecar', 'racecar driver']"
131,Le château ambulant,2004,8.2,"['anime', 'studio ghibli', 'steampunk', 'three word title', 'castle']"
132,Mon voisin Totoro,1988,8.2,"['sister sister relationship', 'magical realism', 'sick mother', 'little girl', 'japan']"
133,La grande évasion,1963,8.2,"['tunnel', 'escape from prison', 'escape', 'prisoner of war', 'nazi germany']"
134,Ran,1985,8.2,"['nihilism', 'wench', 'whore', 'father in law daughter in law relationship', ""shakespeare's king lear""]"
135,Un homme d'exception,2001,8.2,"['mathematician', 'mental illness', 'game theory', 'schizophrenia', 'nobel prize']"
136,Ève,1950,8.2,"['man slaps woman', 'theater', 'starlet', 'meta film', 'based on short story']"
137,Requiem pour un massacre,1985,8.3,"['nazi occupied soviet union', 'mass murder', 'crime against humanity', 'year 1943', 'brutality']"
138,Casino,1995,8.2,"['crime epic', 'casino', 'gambling', 'gangster', 'exploding car']"
139,Le labyrinthe de Pan,2006,8.2,"['fairy', 'hiding', 'maze', 'spain', 'labyrinth']"
140,Raging Bull,1980,8.2,"['jealousy', 'rage', 'domestic violence', 'violence', 'boxing']"
141,Dans ses yeux,2009,8.2,"['argentina', 'concealed', 'clandestine', 'undercover', 'full frontal female nudity']"
142,"Arnaques, crimes et botanique",1998,8.2,"['gangster', 'cockney accent', 'dark humor', 'low budget film', 'shotgun']"
143,Le loup de Wall Street,2013,8.2,"['based on true story', 'stockbroker', 'sex in an airplane', 'female frontal nudity', 'female rear nudity']"
144,Le trésor de la Sierra Madre,1948,8.2,"['mexico', 'sierra madre mountains', 'national film registry', 'afi', '1920s']"
145,Jugement à Nuremberg,1961,8.2,"['nuremberg trials', 'judge', 'nazi', 'war crime', 'courtroom drama']"
146,3 Billboards: Les panneaux de la vengeance,2017,8.2,"['billboard', 'police brutality', 'black comedy', 'ambiguous ending', 'small town']"
147,Chinatown,1974,8.2,"['neo noir', 'corruption', 'private detective', 'incestuous relationship', 'adultery']"
148,Mon père et mon fils,2005,8.3,"['village', 'grandfather grandson relationship', 'father son relationship', 'death in childbirth', 'death of son']"
149,La ruée vers l'or,1925,8.2,"['gold', 'klondike', 'klondike gold rush', 'national film registry', 'little tramp']"
150,There Will Be Blood,2007,8.2,"['oil', 'misanthrope', 'loss of hearing', 'false prophet', 'alcoholic']"
151,Le crime était presque parfait,1954,8.2,"['blackmail', 'murder', 'tennis player', 'love letter', 'key']"
152,V pour vendetta,2005,8.2,"['fascist', 'freedom', 'revolution', 'dystopia', 'upskirt']"
153,Vice-versa,2015,8.2,"['joy', 'sadness', 'memory', 'anger', 'running away']"
154,Le septième sceau,1957,8.2,"['knight', 'medieval times', 'death personified', 'death', 'chess']"
155,Warrior,2011,8.2,"['father son relationship', 'jarhead', 'war machine', 'military industrial complex', 'tournament']"
156,"No Country for Old Men - Non, ce pays n'est pas pour le vieil homme",2007,8.1,"['sheriff', 'texas', 'desert', 'el paso texas', 'revisionist western']"
157,Trainspotting,1996,8.1,"['heroin addict', 'drugs', 'heroin withdrawal', 'drug culture', 'covered in feces']"
158,Elephant Man,1980,8.1,"['physical deformity', 'exploitation', 'dignity', 'sideshow', 'isolation']"
159,Room,2015,8.1,"['escape', 'kidnapping', 'mother son relationship', 'imprisonment', 'unlawful confinement']"
160,Shutter Island,2010,8.1,"['surprise ending', 'mental asylum', 'self delusion', 'psyche', 'neo noir']"
161,Sixième sens,1999,8.1,"['able to see the dead', 'plot twist', 'surprise ending', 'bullying', 'ghost']"
162,The Thing,1982,8.1,"['antarctica', 'body horror', 'paranoia', 'isolation', 'research station']"
163,Autant en emporte le vent,1939,8.1,"['narcissistic personality disorder', 'black stereotype', 'brothel', 'threat to crush skull', 'horse falls over']"
164,Le pont de la rivière Kwaï,1957,8.1,"['bridge', 'jungle', 'uniform', 'british soldier', 'japanese soldier']"
165,Blade Runner,1982,8.1,"['tech noir', 'human android relationship', 'police detective', 'cyberpunk', 'female android']"
166,Jurassic Park,1993,8.1,"['dinosaur', 'tyrannosaurus rex', 'national film registry', 'theme park', 'chaos theory']"
167,Le troisième homme,1949,8.1,"['funeral', 'betrayal', ""faking one's death"", 'rubble film', 'american abroad']"
168,Sur les quais,1954,8.1,"['thin woman', 'woman in night gown', 'night gown', 'mob', 'union']"
169,Le monde de Nemo,2003,8.1,"['pufferfish', 'shark', 'great barrier reef', 'short term memory loss', 'protective father']"
170,Les fraises sauvages,1957,8.2,"['professor', 'nostalgia', 'dream', 'strawberry', 'aging']"
171,La légende de Klaus,2019,8.2,"['santa', 'christmas', 'violence', 'fight', 'friendship']"
172,Andhadhun,2018,8.4,"['blind', 'neo noir', 'pianist', 'murder', 'blackmail']"
173,Fargo,1996,8.1,"['black comedy', 'neo noir', 'americana', 'original story', 'fargo north dakota']"
174,Gran Torino,2008,8.1,"['gang', 'widower', 'gang rape', 'teenager', 'street gang']"
175,Kill Bill: Volume I,2003,8.1,"['revenge', 'bride', 'sword', 'female protagonist', 'martial arts']"
176,Voyage au bout de l'enfer,1978,8.1,"['american imperialism', 'vietnam war veteran', 'psychic', 'disorder', 'mental health']"
177,Eskiya le bandit,1996,8.3,"['bandit', 'money', 'prison', 'bar', 'mafia']"
178,Voyage à Tokyo,1953,8.2,"['estrangement', 'family reunion', 'post world war two', 'japanese', 'generation gap']"
179,The Truman Show,1998,8.1,"['hidden camera', 'simulated reality', 'fictional reality show', 'controlled environment', 'creator creation relationship']"
180,Stalker,1979,8.2,"['guide', 'writer', 'professor', 'ringing phone', 'phone ringing']"
181,The Big Lebowski,1998,8.1,"['rug', 'nihilism', 'pornographer', 'white russian', 'bowling alley']"
182,Les nouveaux sauvages,2014,8.1,"['suicide by airplane crash', 'anthology film', 'revenge', 'wedding party', 'music critic']"
183,Marriage Story,2019,8.1,"['new york city', 'brooklyn new york city', 'los angeles california', 'west hollywood california', 'actress']"
184,Mary et Max.,2009,8.1,"['stop motion', 'black comedy', 'male nudity', 'male frontal nudity', 'male full frontal nudity']"
185,Au nom du père,1993,8.1,"['prison', 'father son relationship', 'based on true story', 'anti irish bias', 'psychological manipulation']"
186,Gone Girl,2014,8.1,"['disappearance', 'missing person', 'murder suspect', 'husband wife relationship', 'based on novel']"
187,Tu ne tueras point,2016,8.1,"['world war two', 'conscientious objector', 'soldier', 'medic', '1940s']"
188,Memories of Murder,2003,8.1,"['serial killer', 'based on true story', 'false evidence', 'police violence', 'violence']"
189,Mr. Smith au sénat,1939,8.1,"['u.s. senator', 'national film registry', 'afi', 'children', 'butler']"
190,Dragons,2010,8.1,"['dragon', 'viking', 'village', 'island', 'training']"
191,Le mécano de la Générale,1926,8.1,"['train', 'national film registry', 'confederate army', 'railway chase', 'general']"
192,The Grand Budapest hotel,2014,8.1,"['hotel', 'lobby boy', 'prison escape', 'first person narration', 'painting']"
193,Sherlock Junior,1924,8.2,"['false accusation', 'surrealism', 'national film registry', 'character name as title', 'entering movie via screen']"
194,Persona,1966,8.1,"['silence', 'patient', 'mute character', 'intercepted letter', 'sex on beach']"
195,Before Sunrise,1995,8.1,"['conversations', 'train', 'french', 'tourist', 'one night']"
196,Arrête-moi si tu peux,2002,8.1,"['scam artist', 'race against time', 'on the run', 'mother son relationship', 'reference to the new york yankees']"
197,Prisoners,2013,8.1,"['child abduction', 'police', 'child kidnapping', 'vigilante justice', 'revenge']"
198,Luke la main froide,1967,8.1,"['prison', 'fugitive', 'bet', 'hard boiled egg', 'running away']"
199,12 Years a Slave,2013,8.1,"['torture', 'kidnapping', 'racism', 'whipping', 'slavery']"
200,Into the Wild,2007,8.1,"['wilderness', 'alaska', 'journey', 'following a dream', 'self discovery']"
201,Le salaire de la peur,1953,8.1,"['risk', 'nitroglycerin', 'oil', 'money', 'vibration']"
202,Network - Main basse sur la TV,1976,8.1,"['media', 'television', 'television network', 'satire', 'ranting']"
203,Stand by me - Compte sur moi,1986,8.1,"['friendship', 'childhood', 'walking on train tracks', 'summertime', 'treehouse']"
204,Monty Python: La Vie de Brian,1979,8.1,"['satire', 'british comedy', 'monty python', 'reference to jesus christ', 'spoof']"
205,Mad Max: Fury Road,2015,8.1,"['post apocalypse', 'desert', 'chase', 'car chase', 'escape']"
206,Platoon,1986,8.1,"['vietnam war', 'gore', 'combat fatigue', 'gunfire', 'automatic weapon']"
207,Barry Lyndon,1975,8.1,"['rise and fall', 'highwayman', 'wealth', 'england', 'duel']"
208,La passion de Jeanne d'Arc,1928,8.1,"['trial', 'joan of arc', 'close up scene', 'martyrdom', 'teenage girl']"
209,Million Dollar Baby,2004,8.1,"['boxing', 'boxing trainer', 'determination', 'women boxing', 'death']"
210,Hatchi,2009,8.1,"['dog', 'japanese', 'loyalty', 'waiting', 'human animal relationship']"
211,Rush,2013,8.1,"['formula 1', 'rivalry', '1970s', 'racecar driver', 'playboy']"
212,Logan,2017,8.1,"['marvel comics', 'x men', 'superhero', 'mutant', 'north dakota']"
213,Ben-Hur,1959,8.1,"['homoerotic subtext', 'whip', 'person on fire', 'baldness', 'talking to a horse']"
214,Rang De Basanti,2006,8.2,"['urination', 'papadum', 'fuzz', 'cop', 'pig']"
215,Andreï Roublev,1966,8.2,"['russian orthodox church', 'russia', 'painter', 'genius', 'silence']"
216,Nausicaä de la vallée du vent,1984,8.1,"['post apocalypse', 'princess', 'giant insect', 'dying planet', 'pollution']"
217,Les quatre cents coups,1959,8.1,"['dysfunctional family', 'school', 'coming of age', 'running away', 'teenager']"
218,Harry Potter et les reliques de la mort: Partie 2,2011,8.1,"['ginny weasley character', 'lucius malfoy character', 'hermione granger character', 'battle', 'final battle']"
219,Hôtel Rwanda,2004,8.1,"['rwanda', 'ethnic warfare', 'mass murder', 'hate monger', 'hotel']"
220,Le cercle des poètes disparus,1989,8.1,"['english teacher', 'professor', 'education', 'suicide', 'poet']"
221,Amours chiennes,2000,8.1,"['multiple storyline', 'dog', 'mexico city', 'multiple perspectives', 'nonlinear timeline']"
222,Spotlight,2015,8.1,"['child molestation', 'investigation', 'sexual abuse', 'cover up', 'newspaper']"
